"","category","name","reviewer","reviews","verified","date.of.review","ratings"
"38","Shorts","Dickies Men's 13 Inch Loose Fit Multi-Pocket Work Short","Bretto","I've been looking for Dickies brand shorts and found them on Amazon. I love them. Perfect fit and comfortable. I ordered 2 more since the price dropped. I would have ordered more even if the price didn't drop. Very satisfied and pleased.","Verified Purchase","Reviewed in Canada on 19 January 2024","1.0 out of 5 stars"
"39","Shorts","Dickies Men's 13 Inch Loose Fit Multi-Pocket Work Short","Norcalif","I've been wearing dickies for decades, and would never change that","Verified Purchase","Reviewed in the United States on 31 July 2023","4.0 out of 5 stars"
"40","Shorts","Dickies Men's 13 Inch Loose Fit Multi-Pocket Work Short","Gary","First off DEFINITELY order one size bigger! I read several reviews that suggested the same and some others said the size was accurate. I ordered my typical 36 and they fit like a VERY small 34. I exchanged for a 38 and that fits great and like a 36. I can wear 34 but carry concealed so I need a bit extra and there is no way I could have carried with that 36. If fit so tight I couldn’t put even a finger in the wait. Aside from that they are great. I’m 6’3 and have a hard time finding shirts that TRULY are below the knee  but these truly are. The others that claim to be “below the knee” definitely do not but these do and for an awesome price! Only $14 when we ordered them! Durable and comfortable but don’t forget to save yourself the hassle of the exchange and just order a size up from the start.","Verified Purchase","Reviewed in the United States on 4 December 2023","4.0 out of 5 stars"
"41","Shorts","Dickies Men's 13 Inch Loose Fit Multi-Pocket Work Short","TIM H","My son likes this uses it for work","Verified Purchase","Reviewed in Australia on 7 February 2024","4.3 out of 5 stars"
"42","Shorts","Dickies Men's 13 Inch Loose Fit Multi-Pocket Work Short","BunningsSnag","I’m a skater and these pants are the best","Verified Purchase","Reviewed in Australia on 25 February 2021","5.0 out of 5 stars"
"43","Shorts","Dickies Men's 13 Inch Loose Fit Multi-Pocket Work Short","Elizabeth Dye","Will echo the ""Order a size Up"" comments, before I washed I tried them on and they were already 2"" too small at the waist, but were massive everywhere else. Durable for sure, but they're going back.","Verified Purchase","Reviewed in the United States on 19 August 2023","1.0 out of 5 stars"
"44","Shorts","Dickies Men's 13 Inch Loose Fit Multi-Pocket Work Short","Cynthia","Small for the size ordered. The run small.","Verified Purchase","Reviewed in the United States on 25 November 2023","4.0 out of 5 stars"
"45","Shorts","Dickies Men's 13 Inch Loose Fit Multi-Pocket Work Short","Mark T","I wear 34 34. Tried them on and it was like trying to fit a whale in a garden hose. I've ordered plenty of these types of shirt with no issues. For some reason these ran too small.","Verified Purchase","Reviewed in Canada on 7 June 2023","5.0 out of 5 stars"
"46","Shorts","Dickies Men's 13 Inch Loose Fit Multi-Pocket Work Short","Julie and Josef Mistal","My son has worn Dickies work shorts with the cell phone pocket for almost 23 years. He likes the length, comfort and quality. They go through a lot of washes and still look great!!","Verified Purchase","Reviewed in the United States on 28 September 2023","3.0 out of 5 stars"
"47","Shorts","Dickies Men's 13 Inch Loose Fit Multi-Pocket Work Short","Ronald","I would try and get a size bigger. Was a little tight for me. But all in all they looked great. The length was great don't like shorts that don't go to my knees and these do. Thanks again","Verified Purchase","Reviewed in the United States on 23 October 2022","3.0 out of 5 stars"
"48","Shorts","Dickies Men's 13 Inch Loose Fit Multi-Pocket Work Short","Verena","Finally replaced my 15 year old pair so I guess I'll update this review in 2038 and let you know how they held up!","Verified Purchase","Reviewed in the United States on 18 May 2023","4.0 out of 5 stars"
"49","Shorts","Dickies Men's 13 Inch Loose Fit Multi-Pocket Work Short","Jeremy Stanley","Perfect for work","Verified Purchase","Reviewed in the United States on 27 October 2022","5.0 out of 5 stars"
"50","Shorts","Dickies Men's 13 Inch Loose Fit Multi-Pocket Work Short","Bryan Macgregor","I ordered a size 34 without even thinking of looking at the reviews so that was my fault. They were too small. After reading what other people said I ordered a size up and they fit perfectly.","Verified Purchase","Reviewed in Canada on 5 June 2023","4.0 out of 5 stars"
